Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
Clinical and cost effectiveness of computer treatment for aphasia post stroke (Big CACTUS): study protocol for a randomised controlled trial,"Palmer, Rebecca; Cooper, Cindy; Enderby, Pam; Brady, Marian; Julious, Steven; Bowen, Audrey; Latimer, Nicholas",,,,Trials,JAN 27 2015,2015,16,,,,,,,18,10.1186/s13063-014-0527-7,,,13,3.25,0,0,4,3,6,0
Effect of vitamin E supplementation on HDL function by haptoglobin genotype in type 1 diabetes: results from the HapE randomized crossover pilot trial,"Costacou, Tina; Levy, Andrew P.; Miller, Rachel G.; Snell-Bergeon, Janet; Asleh, Rabea; Farbstein, Dan; Fickley, Catherine E.; Pambianco, Georgia; de la Vega, Rona; Evans, Rhobert W.; Orchard, Trevor J.",,,,ACTA DIABETOLOGICA,APR 2016,2016,53,2,,,,243,250,,10.1007/s00592-015-0770-8,,,10,3.33,0,0,1,6,3,0
"Resource quality affects weapon and testis size and the ability of these traits to respond to selection in the leaf-footed cactus bug, Narnia femorata","Sasson, Daniel A.; Munoz, Patricio R.; Gezan, Salvador A.; Miller, Christine W.",,,,ECOLOGY AND EVOLUTION,APR 2016,2016,6,7,,,,2098,2108,,10.1002/ece3.2017,,,9,3,0,0,3,5,1,0
"An integrative approach to understanding the evolution and diversity of Copiapoa (Cactaceae), a threatened endemic Chilean genus from the Atacama Desert","Larridon, Isabel; Walter, Helmut E.; Guerrero, Pablo C.; Duarte, Milen; Cisternas, Mauricio A.; Pena Hernandez, Carol; Bauters, Kenneth; Asselman, Pieter; Goetghebeur, Paul; Samain, Marie-Stephanie",,,,AMERICAN JOURNAL OF BOTANY,SEP 2015,2015,102,9,,,,1506,1520,,10.3732/ajb.1500168,,,7,1.75,0,0,3,1,3,0
Stem tilting in the inter-tropical cactus Echinocactus platyacanthus: an adaptive solution to the trade-off between radiation acquisition and temperature control,"Herce, M. F.; Martorell, C.; Alonso-Fernandez, C.; Boullosa, L. F. V. V.; Meave, J. A.",,,,PLANT BIOLOGY,MAY 2014,2014,16,3,,,,571,577,,10.1111/plb.12085,,,7,1.4,1,0,2,3,1,0
Chemical and Physical Defense Traits in Two Sexual Forms of Opuntia robusta in Central Eastern Mexico,"Krzysztof Janczur, Mariusz; Leon Solano, Hector Javier; Solache Ramos, Lupita Tzenyatze; Mendoza Reyes, Citlalli Hypatia; Oro Cerro, Maria del Carmen; Mariezcurrena Berasain, Maria Dolores; Rivas Manzano, Irma Victoria; Manjarrez, Javier; Villareal Benitez, Jose Luis; Czarnoleski, Marcin",,,,PLOS ONE,MAR 5 2014,2014,9,3,,,,,,e89535,10.1371/journal.pone.0089535,,,7,1.4,0,0,2,1,4,0
Using spatially-explicit population models to evaluate habitat restoration plans for the San Diego cactus wren (Campylorhynchus brunneicapillus sandiegensis),"Conlisk, Erin; Motheral, Sara; Chung, Rosa; Wisinski, Colleen; Endress, Bryan",,,,BIOLOGICAL CONSERVATION,JUL 2014,2014,175,,,,,42,51,,10.1016/j.biocon.2014.04.010,,,6,1.2,0,1,2,3,0,0
Modeling of the Dorsal Gradient across Species Reveals Interaction between Embryo Morphology and Toll Signaling Pathway during Evolution,"Ambrosi, Priscilla; Chahda, Juan Sebastian; Koslen, Hannah R.; Chiel, Hillel J.; Mizutani, Claudia Mieko",,,,PLOS COMPUTATIONAL BIOLOGY,AUG 2014,2014,10,8,,,,,,e1003807,10.1371/journal.pcbi.1003807,,,3,0.6,0,0,0,3,0,0
Seed germination and seedling growth of the geophytic Pterocactus tuberosus (Cactaceae),"Kin, Alicia G.; Mazzola, Monica B.; Cenizo, Viviana J.",,,,JOURNAL OF THE TORREY BOTANICAL SOCIETY,OCT 2015,2015,142,4,,,,283,291,,10.3159/TORREY-D-14-00056.1,,,2,0.5,0,0,0,2,0,0
A multi-objective optimization approach for invasive species control,"Bueyuektahtakin, I. Esra; Feng, Zhuo; Szidarovszky, Ferenc",,,,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,NOV 2014,2014,65,11,,,,1625,1635,,10.1057/jors.2013.104,,,2,0.4,0,0,0,1,1,0
Tracking Nutrient Routing in Avian Consumers in a Subtropical Desert,"Gerardo Herrera, L. M.; Jazmin Osorio, M.",,,,BIOTROPICA,MAR 2016,2016,48,2,,,,255,264,,10.1111/btp.12274,,,1,0.33,0,0,0,1,0,0
Cache Hierarchy Optimization,"Yavits, Leonid; Morad, Amir; Ginosar, Ran",,,,IEEE COMPUTER ARCHITECTURE LETTERS,JUL-DEC 2014,2014,13,2,,,,69,72,,10.1109/L-CA.2013.18,,,1,0.2,0,0,1,0,0,0
Dry matter accumulation and seasonal partitioning in mature Opuntia ficus-indica (L.) Mill. fruiting trees,"Liguori, Giorgia; Inglese, Paolo; Sortino, Giuseppe; Inglese, Guglielmo",,,,ITALIAN JOURNAL OF AGRONOMY,2014,2014,9,1,,,,44,47,,10.4081/ija.2014.537,,,1,0.2,0,0,1,0,0,0
Ecological significance of determinate primary root growth: inter- and intraspecific differences in two species of Gymnocalycium (Cactaceae) along elevation gradients,"Martino, P. A.; Bauk, K.; Ferrero, M. C.; Gurvich, D. E.; Las Penas, M. L.",,,,FLORA,NOV 2018,2018,248,,,,,70,75,,10.1016/j.flora.2018.09.001,,,0,0,0,0,0,0,0,0
Good neighbors make good defenses: associational refuges reduce defense investment in African savanna plants,"Coverdale, Tyler C.; Goheen, Jacob R.; Palmer, Todd M.; Pringle, Robert M.",,,,ECOLOGY,AUG 2018,2018,99,8,,,,1724,1736,,10.1002/ecy.2397,,,0,0,0,0,0,0,0,0
Algorithm to find a maximum 2-packing set in a cactus,"Flores-Lamas, Alejandro; Alberto Fernandez-Zepeda, Jose; Antonio Trejo-Sanchez, Joel",,,,THEORETICAL COMPUTER SCIENCE,MAY 16 2018,2018,725,,,,,31,51,,10.1016/j.tcs.2017.11.030,,,0,0,0,0,0,0,0,0
Comparison of hip function and quality of life of total hip arthroplasty and resurfacing arthroplasty in the treatment of young patients with arthritis of the hip joint at 5 years,"Costa, Matthew L.; Achten, Juul; Foguet, Pedro; Parsons, Nicholas R.",Young Adult Hip Arthroplasty Team,,,BMJ OPEN,MAR 2018,2018,8,3,,,,,,e018849,10.1136/bmjopen-2017-018849,,,0,0,0,0,0,0,0,0
Evolution of aquiferous pith and fistulae in Merianthera burlemarxii suggests a rare case of xerophytism in Melastomataceae,"Ziemmer, Juliana K.; Goldenberg, Renato; Amano, Erika",,,,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,SEP 2017,2017,185,1,,,,119,127,,10.1093/botlinnean/box045,,,0,0,0,0,0,0,0,0
Design of a Register Cache System with an Open Source Process Design Kit for 45nm Technology,"Yamada, Junji; Jimbo, Ushio; Shioya, Ryota; Goshima, Masahiro; Sakai, Shuichi",,,,IEICE TRANSACTIONS ON ELECTRONICS,MAR 2017,2017,E100C,3,,,,232,244,,10.1587/transele.E100.C.232,,,0,0,0,0,0,0,0,0
Allocation of endogenous nutrients for reproduction in the lesser long-nosed bat (Leptonycteris yerbabuenae) in central Mexico,"Ramirez Hernandez, Gustavo; Herrera M, L. Gerardo",,,,JOURNAL OF MAMMALOGY,FEB 2016,2016,97,1,,,,23,31,,10.1093/jmammal/gyv149,,,0,0,0,0,0,0,0,0
"Forage cactus associated with different fiber sources for lactating Sindhi cows: intake, digestibility and microbial protein production","Soares Saraiva, Carla Aparecida; Neto, Severino Gonzaga; Soares Queiroz, Maria Fernanda; Henriques, Lara Toledo; Saraiva, Edilson Paes; de Freitas Albuquerque, Romulo Pontes; Carvalho Fonseca, Vinicius de Franca; do Nascimento, George Vieira",,,,REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,OCT 2014,2014,43,10,,,,530,536,,10.1590/S1516-35982014001000004,,,0,0,0,0,0,0,0,0
What drives masting? The phenological synchrony hypothesis,"Koenig, Walter D.; Knops, Johannes M. H.; Carmen, William J.; Pearse, Ian S.",,,,ECOLOGY,JAN 2015,2015,96,1,,,,184,192,,10.1890/14-0819.1,,,32,8,0,5,7,12,8,0
Tree size and fecundity influence ballistic seed dispersal of two dominant mast-fruiting species in a tropical rain forest,"Norghauer, Julian M.; Newbery, David M.",,,,FOREST ECOLOGY AND MANAGEMENT,FEB 15 2015,2015,338,,,,,100,113,,10.1016/j.foreco.2014.11.005,,,11,2.75,0,0,7,3,1,0
Climatic Drivers of Mast Fruiting in European Beech and Resulting C and N Allocation Shifts,"Mueller-Haubold, Hilmar; Hertel, Dietrich; Leuschner, Christoph",,,,ECOSYSTEMS,SEP 2015,2015,18,6,,,,1083,1100,,10.1007/s10021-015-9885-6,,,10,2.5,0,0,0,5,5,0
Evolutionary and Ecological Consequences of Multiscale Variation in Pollen Receipt for Seed Production,"Schreiber, Sebastian J.; Rosenheim, Jay A.; Williams, Neal W.; Harder, Lawrence D.",,,,AMERICAN NATURALIST,JAN 2015,2015,185,1,,,,E14,E29,,10.1086/678982,,,9,2.25,0,1,4,2,2,0
Crop yield components - photoassimilate supply- or utilisation limited-organ development?,"Patrick, John W.; Colyvas, Kim",,,,FUNCTIONAL PLANT BIOLOGY,2014,2014,41,9,,,,893,913,,10.1071/FP14048,,,8,1.6,0,2,3,2,1,0
Resource- and pollinator-mediated selection on floral traits,"Sletvold, Nina; Tye, Matthew; Agren, Jon",,,,FUNCTIONAL ECOLOGY,JAN 2017,2017,31,1,,,,135,141,,10.1111/1365-2435.12757,,,7,3.5,0,0,0,7,0,0
Scaling relationships among twig components are affected by sex in the dioecious tree Populus cathayana,"Yang, Yanxia; He, Xinhua; Xu, Xiao; Yang, Dongmei",,,,TREES-STRUCTURE AND FUNCTION,JUN 2015,2015,29,3,,,,737,746,,10.1007/s00468-014-1151-6,,,7,1.75,0,0,2,3,2,0
TRADE-OFFS AND ONTOGENETIC CHANGES IN RESISTANCE AND TOLERANCE TO INSECT HERBIVORY IN ARABIDOPSIS,"Hoque, Shamsul; Avila-Sakar, German",,,,INTERNATIONAL JOURNAL OF PLANT SCIENCES,FEB 2015,2015,176,2,,,,150,158,,10.1086/679478,,,7,1.75,0,1,4,2,0,0
Female reproductive success in gynodioecious Thymus vulgaris: pollen versus nutrient limitation and pollinator foraging behaviour,"Arnan, Xavier; Escola, Anna; Rodrigo, Anselm; Bosch, Jordi",,,,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,JUL 2014,2014,175,3,,,,395,408,,10.1111/boj.12173,,,7,1.4,0,0,1,2,4,0
Fruiting Strategies of Perennial Plants: A Resource Budget Model to Couple Mast Seeding to Pollination Efficiency and Resource Allocation Strategies,"Venner, Samuel; Siberchicot, Aurelie; Pelisson, Pierre-Francois; Schermer, Eliane; Bel-Venner, Marie-Claude; Nicolas, Manuel; Debias, Francois; Miele, Vincent; Sauzet, Sandrine; Boulanger, Vincent; Delzon, Sylvain",,,,AMERICAN NATURALIST,JUL 2016,2016,188,1,,,,66,75,,10.1086/686684,,,6,2,0,0,1,1,4,0
Does multiple paternity affect seed mass in angiosperms? An experimental test in Dalechampia scandens,"Pelabon, C.; Albertsen, E.; Falahati-Anbaran, M.; Wright, J.; Armbruster, W. S.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,SEP 2015,2015,28,9,,,,1719,1733,,10.1111/jeb.12692,,,6,1.5,0,1,1,3,1,0
Effects of experimental early canopy closure on the growth and reproduction of spring ephemeral Erythronium japonicum in a montane deciduous forest,"Kim, Hyun Jung; Jung, Jong Bin; Jang, You Lim; Sung, Joo Han; Park, Pil Sun",,,,JOURNAL OF PLANT BIOLOGY,JUN 2015,2015,58,3,,,,164,174,,10.1007/s12374-014-0545-8,,,6,1.5,0,1,1,2,2,0
Complementary fruiting phenologies facilitate sharing of one pollinator fig wasp by two fig trees,"Liu, Gui-Xiang; Yang, Da-Rong; Peng, Yan-Qiong; Compton, Stephen G.",,,,JOURNAL OF PLANT ECOLOGY,APR 2015,2015,8,2,,,SI,197,206,,10.1093/jpe/rtv022,,,6,1.5,0,2,4,0,0,0
Indirect costs counteract the effects of pollinator-mediated phenotypic selection on corolla size in the Mediterranean shrub Halimium atriplicifolium,"Teixido, Alberto L.",,,,JOURNAL OF PLANT ECOLOGY,AUG 2014,2014,7,4,,,,364,372,,10.1093/jpe/rtt043,,,6,1.2,2,1,1,2,0,0
Effects of pollination limitation and seed predation on female reproductive success of a deceptive orchid,"Walsh, Ryan P.; Arnold, Paige M.; Michaels, Helen J.",,,,AOB PLANTS,2014,2014,6,,,,,,,plu031,10.1093/aobpla/plu031,,,6,1.2,0,2,1,2,1,0
"The role of nutrients, productivity and climate in determining tree fruit production in European forests","Fernandez-Martinez, Marcos; Vicca, Sara; Janssens, Ivan A.; Maria Espelta, Josep; Penuelas, Josep",,,,NEW PHYTOLOGIST,JAN 2017,2017,213,2,,,,669,679,,10.1111/nph.14193,,,5,2.5,0,0,0,4,1,0
"Disentangling plasticity of serotiny, a key adaptive trait in a Mediterranean conifer","Martin-Sanz, Ruth C.; Santos-del-Blanco, Luis; Notivol, Eduardo; Regina Chambel, M.; San-Martin, Roberto; Climent, Jose",,,,AMERICAN JOURNAL OF BOTANY,SEP 2016,2016,103,9,,,,1582,1591,,10.3732/ajb.1600199,,,5,1.67,0,0,0,3,2,0
"Flowering schedule in a perennial plant; life-history trade-offs, seed predation, and total offspring fitness","Ehrlen, Johan; Raabova, Jana; Dahlgren, Johan P.",,,,ECOLOGY,AUG 2015,2015,96,8,,,,2280,2288,,10.1890/14-1860.1,,,5,1.25,0,0,1,2,2,0
The consequences of demand-driven seed provisioning for sexual differences in reproductive investment in Thalictrum occidentale (Ranunculaceae),"Ida, Takashi Y.; Harder, Lawrence D.; Kudo, Gaku",,,,JOURNAL OF ECOLOGY,JAN 2015,2015,103,1,,,,269,280,,10.1111/1365-2745.12330,,,5,1.25,0,0,2,2,1,0
The size at reproduction of canopy tree species in central Africa,"Ouedraogo, Dakis-Yaoba; Doucet, Jean-Louis; Dainou, Kasso; Baya, Fidele; Biwole, Achille Bernard; Bourland, Nils; Feteke, Fousseni; Gillet, Jean-Francois; Kouadio, Yao Lambert; Fayolle, Adeline",,,,BIOTROPICA,MAY 2018,2018,50,3,,,,465,476,,10.1111/btp.12531,,,4,4,0,0,0,0,4,0
Seedling performance covaries with dormancy thresholds: maintaining cryptic seed heteromorphism in a fire-prone system,"Liyanage, Ganesha S.; Ayre, David J.; Ooi, Mark K. J.",,,,ECOLOGY,NOV 2016,2016,97,11,,,,3009,3018,,10.1002/ecy.1567,,,4,1.33,0,0,0,2,2,0
Reproductive strategy of Copaifera langsdorffii (Fabaceae): more seeds or better seeds?,"Souza, Matheus Lopes; Solar, Ricardo Ribeiro; Fagundes, Marcilio",,,,REVISTA DE BIOLOGIA TROPICAL,DEC 2015,2015,63,4,,,,1161,1167,,,,,4,1,0,1,2,1,0,0
"The influence of light habitat on the physiology, biomass allocation, and fecundity of the invasive shrub Amur honeysuckle (Lonicera maackii, Caprifoliaceae)","Lieurance, Deah; Landsbergen, Kim",,,,JOURNAL OF THE TORREY BOTANICAL SOCIETY,OCT 2016,2016,143,4,,,,415,426,,10.3159/TORREY-D-15-00056.1,,,3,1,0,0,0,2,1,0
Alterations in flowering strategies and sexual allocation of Caragana stenophylla along a climatic aridity gradient,"Xie, Lina; Guo, Hongyu; Ma, Chengcang",,,,SCIENTIFIC REPORTS,SEP 15 2016,2016,6,,,,,,,33602,10.1038/srep33602,,,3,1,0,0,0,2,1,0
"Bird pollinators, seed storage and cockatoo granivores explain large woody fruits as best seed defense in Hakea","Lamont, Byron B.; Hanley, Mick E.; Groom, Philip K.; He, Tianhua",,,,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,AUG 2016,2016,21,,,,,55,77,,10.1016/j.ppees.2016.05.002,,,3,1,0,0,0,1,2,0
Site-specific reproductive performance of an invasive fleshy-fruited tree in remnant grasslands of the Argentinean Pampas,"Zalba, S. M.; Amodeo, M. R.",,,,WEED RESEARCH,DEC 2015,2015,55,6,,,,546,554,,10.1111/wre.12171,,,3,0.75,0,0,1,2,0,0
Sex-specific reproductive components and pollination ecology in the subdioecious shrub Fuchsia microphylla,"Cuevas, E.; Jimenez, R.; Lopezaraiza-Mikel, M.",,,,PLANT BIOLOGY,NOV 2014,2014,16,6,,,,1096,1103,,10.1111/plb.12161,,,3,0.6,0,0,1,1,1,0
CHANGING REPRODUCTIVE EFFORT WITHIN A SEMELPAROUS REPRODUCTIVE EPISODE,"Hughes, P. William; Simons, Andrew M.",,,,AMERICAN JOURNAL OF BOTANY,AUG 1 2014,2014,101,8,,,,1323,1331,,10.3732/ajb.1400283,,,3,0.6,0,1,1,1,0,0
Relative resource allocation to dispersal and competition demonstrates the putative role of hybridity in geographical parthenogenesis,"Coughlan, Jennifer M.; Stefanovic, Sasa; Dickinson, Timothy A.",,,,JOURNAL OF BIOGEOGRAPHY,AUG 2014,2014,41,8,,,,1603,1613,,10.1111/jbi.12316,,,3,0.6,0,0,0,2,1,0
Egg and time limitation mediate an egg protection strategy,"Deas, J. B.; Hunter, M. S.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,MAY 2014,2014,27,5,,,,920,928,,10.1111/jeb.12363,,,3,0.6,0,1,0,1,1,0
THE TRADE-OFF AND ALTITUDINAL VARIATIONS IN SEED WEIGHT-NUMBER IN SINOPODOPHYLLUM HEXANDRUM (ROYLE) YING (BERBERIDACEAE) POPULATIONS FROM THE HENGDUAN MOUNTAINS,"Meng, Li-Hua; Wang, Yun; Luo, Jian; Yang, Yong-Ping; Duan, Yuan-Wen",,,,POLISH JOURNAL OF ECOLOGY,2014,2014,62,3,,,,413,419,,10.3161/104.062.0303,,,3,0.6,0,0,0,3,0,0
Floral biology and pollination mechanisms of four Mexico-endemic Fuchsia species with contrasting reproductive systems,"Gonzalez, Clementina; Alvarez-Banos, Anai; Cuevas, Eduardo",,,,JOURNAL OF PLANT ECOLOGY,FEB 2018,2018,11,1,,,,123,135,,10.1093/jpe/rtw118,,,2,2,0,0,0,2,0,0
Pre-dispersal predation effect on seed packaging strategies and seed viability,"DeSoto, Lucia; Tutor, David; Torices, Ruben; Rodriguez-Echeverria, Susana; Nabais, Cristina",,,,OECOLOGIA,JAN 2016,2016,180,1,,,,91,102,,10.1007/s00442-015-3446-8,,,2,0.67,0,0,0,1,1,0
"REPRODUCTIVE SUCCESS OF THE GYNODIOECIOUS LOBELIA SPICATA LAM. (CAMPANULACEAE): FEMALE FREQUENCY, POPULATION DEMOGRAPHICS, AND LATITUDINAL PATTERNS","Ruffatto, Danielle M.; Zaya, David N.; Molano-Flores, Brenda",,,,INTERNATIONAL JOURNAL OF PLANT SCIENCES,FEB 2015,2015,176,2,,,,120,130,,10.1086/679460,,,2,0.5,0,0,0,2,0,0
"Variation in reproductive modes and population genetic structures of a monocarpic perennial herb, Cardiocrinum cordatum, in relation to habitat fragmentation","Narumi, Tadashi; Ohara, Masashi",,,,PLANT SPECIES BIOLOGY,OCT 2018,2018,33,4,,,,248,258,,10.1111/1442-1984.12217,,,1,1,0,0,0,0,1,0
"Restricted female function of hermaphrodites in a gynodioecious shrub, Daphne jezoensis (Thymelaeaceae)","Shibata, Akari; Kameyama, Yoshiaki; Kudo, Gaku",,,,JOURNAL OF PLANT RESEARCH,MAR 2018,2018,131,2,,,,245,254,,10.1007/s10265-017-0978-5,,,1,1,0,0,0,0,1,0
Allocation to clonal and sexual reproduction and its plasticity in Vallisneria spinulosa along a water-depth gradient,"Li, Lei; Lan, Zhichun; Chen, Jiakuan; Song, Zhiping",,,,ECOSPHERE,JAN 2018,2018,9,1,,,,,,e02070,10.1002/ecs2.2070,,,1,1,0,0,0,0,1,0
Limiting the cost of mutualism: the defensive role of elongated gynophore in the leafflower-moth mutualism,"Furukawa, Saori; Kawakita, Atsushi",,,,OECOLOGIA,AUG 2017,2017,184,4,,,,835,846,,10.1007/s00442-017-3910-8,,,1,0.5,0,0,0,0,1,0
"The effects of local variation in light availability on pollinator visitation, pollen and resource limitation of female reproduction in Hosta ventricosa","Cao, Guo-Xing; Wu, Bi-Xian; Xu, Xu-Jian; Wang, Xie; Yang, Chun-Ping",,,,BOTANICAL STUDIES,JUN 2 2017,2017,58,,,,,,,24,10.1186/s40529-017-0180-z,,,1,0.5,0,0,0,0,1,0
"Pollen limitation, plasticity in floral traits, and mixed mating system in an alpine plant Pedicularis siphonantha (Orobanchaceae) from different altitudes","Dai, Wen-Kui; Kadiori, Edwin Luguba; Wang, Qing-Feng; Yang, Chun-Feng",,,,JOURNAL OF SYSTEMATICS AND EVOLUTION,MAY 2017,2017,55,3,,,,192,199,,10.1111/jse.12240,,,1,0.5,0,0,0,1,0,0
Leafing intensity and the fruit size/number trade-off in woody angiosperms,"Dombroskie, Sarah L.; Tracey, Amanda J.; Aarssen, Lonnie W.",,,,JOURNAL OF ECOLOGY,NOV 2016,2016,104,6,,,,1759,1767,,10.1111/1365-2745.12622,,,1,0.33,0,0,0,0,1,0
"Chemotaxonomic perspectives of the Paracaryum (Cynoglosseae, Boraginaceae) taxa based on fruit fatty acid","Dogru-Koca, Asli; Ozcan, Tamer; Yildirimli, Sinasi",,,,PHYTOCHEMISTRY,NOV 2016,2016,131,,,,,100,106,,10.1016/j.phytochem.2016.08.012,,,1,0.33,0,0,0,1,0,0
"Effect of rosette size, clonality and spatial distribution on the reproduction of Vriesea carinata (Bromeliaceae) in the Atlantic Forest of Parana, southern Brazil","de Souza Silva, Marcelo Aparecido; Varassin, Isabela Galarda",,,,ACTA BOTANICA BRASILICA,JUL-SEP 2016,2016,30,3,,,,401,406,,10.1590/0102-33062016abb0144,,,1,0.33,0,0,0,1,0,0
Snakes and forbidden fruits: non-consumptive effects of snakes on the behaviors of frugivorous birds,"Breviglieri, Crasso Paulo B.; Romero, Gustavo Q.",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,MAY 2016,2016,70,5,,,,777,783,,10.1007/s00265-016-2101-7,,,1,0.33,0,0,0,1,0,0
Differences in disturbance type and nutrient availability favour different functional traits across three co-occurring montane wetland systems in eastern Australia,"Hunter, John T.",,,,AUSTRALIAN JOURNAL OF BOTANY,2016,2016,64,6,,,,526,529,,10.1071/BT16021,,,1,0.33,0,0,0,0,1,0
The effect of phenological variation in sex expression on female reproductive success in Saxifraga granulata,"van der Meer, Sascha; Jacquemyn, Hans",,,,AMERICAN JOURNAL OF BOTANY,DEC 2015,2015,102,12,,,,2116,2123,,10.3732/ajb.1500324,,,1,0.25,0,0,0,0,1,0
Priority of 5% Quince Seed Cream Versus 1% Phenytoin Cream in the Healing of Skin Ulcers: A Randomized Controlled Trial,"Omidian, Mohamad; Hemmati, Ali Asghar; Farajzade, Hamide; Houshmand, Gholamreza; Sattari, Alireza; Kouchak, Maryam",,,,JUNDISHAPUR JOURNAL OF NATURAL PHARMACEUTICAL PRODUCTS,MAY 2015,2015,10,2,,,,,,UNSP e24590,,,,1,0.25,0,0,0,0,1,0
Variation in Sex Allocation and Floral Morphology in an Expanding Distylous Plant Hybrid Complex,"Ward, Jennifer Rhode; Cowart, M. Leigh; Clifford, Julie; Camp, Mieko; Cruzan, Mitchell B.",,,,INTERNATIONAL JOURNAL OF PLANT SCIENCES,JUN 1 2014,2014,175,5,,,,518,525,,10.1086/675695,,,1,0.2,0,1,0,0,0,0
Adaptive decision making or differential mortality: what causes offspring emergence in a gregarious parasitoid?,"Koppik, Mareike; Thiel, Andra; Hoffmeister, Thomas S.",,,,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,MAR 2014,2014,150,3,,,,208,216,,10.1111/eea.12154,,,1,0.2,0,1,0,0,0,0
Variation of vegetative and reproductive traits in Cistus laurifolius: evidences of a response to contrasting habitat conditions,"D'Antraccoli, Marco; Roma-Marzio, Francesco; Astuti, Giovanni; Bedini, Gianni; Ciccarelli, Daniela; Peruzzi, Lorenzo; Carta, Angelino",,,,FLORA,NOV 2018,2018,248,,,,,22,27,,10.1016/j.flora.2018.08.009,,,0,0,0,0,0,0,0,0
Chronic leaf harvesting reduces reproductive success of a tropical dry forest palm in northern Mexico,"Lopez-Toledo, Leonel; Perez-Decelis, Angeles; Macedo-Santana, Franceli; Cuevas, Eduardo; Endress, Bryan A.",,,,PLOS ONE,OCT 18 2018,2018,13,10,,,,,,e0205178,10.1371/journal.pone.0205178,,,0,0,0,0,0,0,0,0
A multi-level test of the seed number/size trade-off in two Scandinavian communities,"Lazaro, Amparo; Larrinaga, Asier R.",,,,PLOS ONE,JUL 27 2018,2018,13,7,,,,,,e0201175,10.1371/journal.pone.0201175,,,0,0,0,0,0,0,0,0
Excessive flower production as an anti-predator strategy: when is random flower abortion favored?,"Ezoe, Hideo",,,,POPULATION ECOLOGY,JUL 2018,2018,60,3,,,,275,286,,10.1007/s10144-018-0625-6,,,0,0,0,0,0,0,0,0
A mosaic of phenotypic variation in giant ragweed (Ambrosia trifida): Local- and continental-scale patterns in a range-expanding agricultural weed,"Hovick, Stephen M.; McArdle, Andrea; Harrison, S. Kent; Regnier, Emilie E.",,,,EVOLUTIONARY APPLICATIONS,JUL 2018,2018,11,6,,,,995,1009,,10.1111/eva.12614,,,0,0,0,0,0,0,0,0
Presence of fruits decreases probability of retaining flowers in a sequentially flowering plant,"Jadeja, Shivani; Tenhumberg, Brigitte",,,,AOB PLANTS,JUN 2018,2018,10,3,,,,,,ply033,10.1093/aobpla/ply033,,,0,0,0,0,0,0,0,0
Pollination and reproduction of an invasive plant inside and outside its ancestral range,"Petanidou, Theodora; Price, Mary V.; Bronstein, Judith L.; Kantsa, Aphrodite; Tscheulin, Thomas; Kariyat, Rupesh; Krigas, Nikos; Mescher, Mark C.; De Moraes, Consuelo M.; Waser, Nickolas M.",,,,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,MAY 2018,2018,89,,,,,11,20,,10.1016/j.actao.2018.03.008,,,0,0,0,0,0,0,0,0
The Domestication of the Amazon Tree Grape (Pourouma cecropiifolia) Under an Ecological Lens,"Pedrosa, Hermisia C.; Clement, Charles R.; Schietti, Juliana",,,,FRONTIERS IN PLANT SCIENCE,MAR 14 2018,2018,9,,,,,,,203,10.3389/fpls.2018.00203,,,0,0,0,0,0,0,0,0
The enigma of sex allocation in Selaginella,"Petersen, Kurt B.; Burd, Martin",,,,ANNALS OF BOTANY,FEB 2018,2018,121,2,,,,377,383,,10.1093/aob/mcx163,,,0,0,0,0,0,0,0,0
Functional trade-offs and the phylogenetic dispersion of seed traits in a biodiversity hotspot of the Mountains of Southwest China,"Chen, Kai; Burgess, Kevin S.; Yang, Xiang-Yun; Luo, Ya-Huang; Gao, Lian-Ming; Li, De-Zhu",,,,ECOLOGY AND EVOLUTION,FEB 2018,2018,8,4,,,,2218,2230,,10.1002/ece3.3805,,,0,0,0,0,0,0,0,0
Combined effects of seed and soil quality drive seedling performance of a late-successional canopy tree in a tropical forest,"Zambrano, Jenny; Howe, Henry F.; Gonzalez-Meler, Miquel",,,,BIOTROPICA,NOV 2017,2017,49,6,,,,811,820,,10.1111/btp.12466,,,0,0,0,0,0,0,0,0
Tracing coco de mer's reproductive history: Pollen and nutrient limitations reduce fecundity,"Morgan, Emma J.; Kaiser-Bunbury, Christopher N.; Edwards, Peter J.; Fleischer-Dogley, Frauke; Kettle, Chris J.",,,,ECOLOGY AND EVOLUTION,OCT 2017,2017,7,19,,,,7765,7776,,10.1002/ece3.3312,,,0,0,0,0,0,0,0,0
